# Generated by workflow/scripts/py/make_sheets.py -- safe to edit.
# Set use=false to drop a row without deleting it.
sample	mark	clone	condition	allele	replicate	genotype	snpsplit_tag	normgroup	input_type	bam	use
H3K27me3_B1_WT_Gall_rep1	H3K27me3	B1	WT	Gall	1			WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_B1_WT_Gall_rep1.bam	true
H3K27me3_B1_WT_Gall_rep2	H3K27me3	B1	WT	Gall	2			WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_B1_WT_Gall_rep2.bam	true
H3K27me3_B1_WT_Xa_rep1	H3K27me3	B1	WT	Xa	1	C57BL-6J	G1	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_B1_WT_Xa_rep1.bam	true
H3K27me3_B1_WT_Xa_rep2	H3K27me3	B1	WT	Xa	2	C57BL-6J	G1	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_B1_WT_Xa_rep2.bam	true
H3K27me3_B1_WT_Xi_rep1	H3K27me3	B1	WT	Xi	1	CAST-EiJ	G2	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_B1_WT_Xi_rep1.bam	true
H3K27me3_B1_WT_Xi_rep2	H3K27me3	B1	WT	Xi	2	CAST-EiJ	G2	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_B1_WT_Xi_rep2.bam	true
H3K27me3_C5_WT_Gall_rep1	H3K27me3	C5	WT	Gall	1			WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_C5_WT_Gall_rep1.bam	true
H3K27me3_C5_WT_Gall_rep2	H3K27me3	C5	WT	Gall	2			WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_C5_WT_Gall_rep2.bam	true
H3K27me3_C5_WT_Xa_rep1	H3K27me3	C5	WT	Xa	1	C57BL-6J	G1	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_C5_WT_Xa_rep1.bam	true
H3K27me3_C5_WT_Xa_rep2	H3K27me3	C5	WT	Xa	2	C57BL-6J	G1	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_C5_WT_Xa_rep2.bam	true
H3K27me3_C5_WT_Xi_rep1	H3K27me3	C5	WT	Xi	1	CAST-EiJ	G2	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_C5_WT_Xi_rep1.bam	true
H3K27me3_C5_WT_Xi_rep2	H3K27me3	C5	WT	Xi	2	CAST-EiJ	G2	WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_C5_WT_Xi_rep2.bam	true
H3K27me3_CL30_WT_Gall_rep1	H3K27me3	CL30	WT	Gall	1			WT_H3K27me3	all	/mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/H3K27me3_CL30_WT_Gall_rep1.bam	true
