X,Rad21B1621_nodTAG,Rad21B1621_dTAG,F3_0h,F3_4d,C5C10_NodTAG,C5C10_4DdTAG,E6A7_NodTAG,E6A7_4DdTAG
ENSMUSG00000033845,0.693696814,0.699289788,0.738019107,0.740964021,0.639546969,0.659476935,0.350460034,0.345933854
ENSMUSG00000025903,0.700556844,0.704630429,0.784253781,0.791133272,0.6000056,0.623433823,0.392913759,0.35420279
ENSMUSG00000033813,0.704714081,0.731112798,0.749079548,0.711928152,0.59761564,0.614433919,0.372645221,0.358248868
ENSMUSG00000033793,0.720974276,0.676266327,0.726831875,0.748710451,0.634716921,0.600128311,0.36092194,0.32858793
ENSMUSG00000025907,0.634941023,0.622662465,0.700306439,0.689982933,0.711831178,0.703704588,0.275687346,0.275939736
ENSMUSG00000090031,0.670518548,0.587892556,0.620934325,0.592420678,0.876443569,0.869618165,0.162107398,0.234456472
ENSMUSG00000051285,0.70598328,0.709526831,0.769301002,0.738203248,0.604743658,0.601619099,0.403152645,0.373416497
ENSMUSG00000061024,0.710119638,0.698868338,0.748817441,0.745449187,0.61832353,0.598323996,0.36056239,0.399334959
ENSMUSG00000025911,0.732381092,0.773958544,0.827060383,0.792188272,0.579216968,0.560770513,0.392198026,0.382438191
ENSMUSG00000025912,0.658663844,0.698936385,0.709347901,0.758969562,0.607054001,0.566833399,0.390121851,0.464064785
ENSMUSG00000045210,0.705485069,0.740243897,0.71614585,0.716179396,0.638318775,0.620457647,0.342945276,0.382664461
ENSMUSG00000025915,0.688316492,0.658986075,0.72326901,0.706914844,0.637717871,0.647734447,0.321804698,0.377327328
ENSMUSG00000098234,0.863385404,0.799074495,0.872799589,0.827310624,0.537528115,0.533861502,0.472356511,0.507816445
ENSMUSG00000025917,0.679110856,0.691802131,0.74343892,0.71675687,0.65194494,0.666872105,0.337586684,0.346267706
ENSMUSG00000056763,0.686895044,0.660021973,0.693504912,0.711216586,0.708904468,0.689291285,0.293768159,0.337967323
ENSMUSG00000067851,0.66590911,0.675538767,0.734245512,0.732226063,0.626635322,0.645110958,0.309039015,0.34840542
ENSMUSG00000005886,0.702470814,0.667827044,0.728942066,0.69229859,0.654344094,0.668742757,0.346985468,0.354064963
ENSMUSG00000025935,0.662979378,0.644028198,0.695828041,0.684269283,0.702378065,0.705138608,0.294151112,0.300929257
ENSMUSG00000025937,0.641038486,0.626837019,0.659544185,0.637029669,0.743826357,0.719986974,0.255590908,0.303044794
ENSMUSG00000025932,0.464773532,0.471389022,0.707834995,0.646169685,0.764975458,0.755769727,0.037959532,0.054858637
ENSMUSG00000025925,0.661123145,0.603970635,0.697476481,0.639067646,0.694521928,0.704487614,0.316854286,0.310959442
ENSMUSG00000043716,0.806907185,0.806618851,0.830065332,0.829473923,0.477426589,0.466628222,0.511179562,0.52095257
ENSMUSG00000025921,0.577668727,0.540228152,0.579053144,0.615612811,0.742285766,0.713796551,0.181654808,0.209271101
ENSMUSG00000025920,0.67842473,0.672720425,0.722635847,0.713988983,0.677885303,0.683558613,0.232350042,0.242282581
ENSMUSG00000025939,0.657507583,0.641345859,0.710243683,0.663781523,0.666236604,0.659592469,0.332044856,0.286690989
ENSMUSG00000079658,0.710002935,0.710230581,0.756717158,0.765731126,0.609236199,0.638162179,0.359119108,0.351174013
ENSMUSG00000025940,0.743328465,0.737399855,0.776842553,0.772716481,0.575447393,0.574390614,0.416150967,0.395014382
ENSMUSG00000041859,0.66685503,0.667041352,0.730526436,0.718948288,0.666369302,0.672474958,0.321379646,0.319607539
ENSMUSG00000025931,0.640831463,0.681685237,0.808966505,0.77880979,0.605654789,0.649311086,0.242713287,0.278920907
ENSMUSG00000041779,0.696670767,0.667437164,0.770670494,0.775958719,0.646279946,0.610818705,0.381175053,0.364106181
ENSMUSG00000026158,0.634574861,0.630741808,0.688439388,0.665293366,0.777185174,0.713472003,0.275539598,0.294486988
ENSMUSG00000026155,0.634836018,0.668045019,0.705983424,0.705628819,0.677463255,0.661123732,0.317737445,0.323872311
ENSMUSG00000026154,0.575633283,0.541942788,0.621053041,0.605711463,0.748003444,0.790179928,0.211829504,0.227588565
ENSMUSG00000026153,0.672671266,0.637685631,0.684766415,0.672803826,0.681350332,0.662782706,0.268502804,0.26710825
ENSMUSG00000073725,0.672405882,0.68203758,0.726391977,0.717434466,0.624977389,0.63855645,0.32201813,0.352817431
ENSMUSG00000033569,0.620166832,0.651365714,0.7058079,0.686604727,0.689933063,0.7104331,0.299116975,0.340879019
ENSMUSG00000048874,0.665259979,0.722478986,0.724993293,0.736985131,0.654397623,0.627893637,0.311001441,0.35891701
ENSMUSG00000026134,0.709780959,0.688711846,0.746538412,0.741807512,0.586395517,0.622566145,0.342720264,0.338027179
ENSMUSG00000004768,0.659768725,0.666483129,0.71616141,0.6739569,0.6294084,0.646150055,0.343425058,0.311029428
ENSMUSG00000042215,0.625824067,0.618446605,0.706018818,0.670102767,0.662997684,0.674677701,0.301925816,0.284612059
ENSMUSG00000042197,0.693554789,0.675075048,0.746656193,0.7057629,0.638559612,0.637888731,0.383327964,0.368000374
ENSMUSG00000042182,0.407641853,0.426201512,0.519143277,0.46959646,0.777122089,0.771933495,0.180860233,0.234367562
ENSMUSG00000026131,0.631326666,0.619069303,0.693358331,0.636399675,0.674281341,0.666652448,0.303706162,0.307114579
ENSMUSG00000042111,0.774187473,0.727294481,0.823804104,0.803978044,0.573704467,0.59056671,0.420748195,0.380902377
ENSMUSG00000026127,0.673084437,0.679522125,0.75257297,0.711845182,0.646128069,0.65923408,0.324777373,0.321427554
ENSMUSG00000037509,0.456181535,0.56041082,0.576097127,0.55665266,0.781248005,0.826887104,0.644470163,0.508090937
ENSMUSG00000037503,0.705914388,0.697538878,0.751764381,0.74377491,0.636376366,0.650848222,0.321655834,0.327472984
ENSMUSG00000026123,0.667412856,0.636618473,0.723127727,0.691131862,0.99928721,0.997591417,0.287748611,0.246267406
ENSMUSG00000045216,0.691301971,0.696048218,0.731893512,0.716680487,0.643562947,0.672774487,0.362586738,0.342686465
ENSMUSG00000037470,0.678064439,0.676004229,0.736434599,0.720125215,0.641984499,0.6523476,0.340658537,0.342111498
ENSMUSG00000037447,0.730337529,0.785209101,0.797758255,0.789666639,0.507309809,0.569088444,0.395986345,0.432307934
ENSMUSG00000010453,0.659430846,0.654675617,0.712464355,0.697914775,0.677862964,0.676800131,0.322612711,0.333230933
ENSMUSG00000001143,0.716375773,0.712745636,0.753250349,0.721497353,0.616648982,0.620253087,0.364267563,0.35708366
ENSMUSG00000037408,0.72256354,0.67207719,0.748581975,0.69527014,0.574510736,0.626548895,0.454507956,0.474710467
ENSMUSG00000001138,0.639518536,0.637730134,0.687020811,0.685020642,0.67993965,0.691564221,0.315599764,0.327922813
ENSMUSG00000079610,0.681562828,0.669859251,0.710463076,0.68400859,0.653905683,0.647675011,0.326665299,0.296946903
ENSMUSG00000026121,0.659083248,0.670283824,0.707739417,0.713925775,0.631825103,0.650156154,0.307107813,0.326075303
ENSMUSG00000087589,0.635870838,0.612490246,0.610778271,0.602447246,0.69623704,0.653449665,0.235584464,0.367366941
ENSMUSG00000061518,0.897994681,0.897459236,0.87318317,0.860086001,0.31974577,0.333590993,0.666538261,0.688621566
ENSMUSG00000037351,0.66425769,0.646061498,0.723227015,0.711509068,0.671212083,0.653352784,0.337527086,0.325768194
ENSMUSG00000026116,0.674734684,0.677795788,0.752058449,0.734668603,0.640512073,0.656181108,0.340104338,0.356559927
ENSMUSG00000026113,0.635903767,0.578445882,0.656467319,0.666808292,0.685287629,0.69917944,0.26734097,0.318539001
ENSMUSG00000026112,0.698829935,0.688299183,0.747764511,0.737014614,0.62037745,0.625935745,0.372036811,0.391353382
