# Ground-truth scale factors recovered from the ORIGINAL pipeline's
# bigWigs: the minimum positive value on an autosome is exactly the
# applied `--scaleFactor` (one read x s).
# source: /mnt/scratch/nikolai/Antonia/BAMS_WT_CTCF/norm_bw_WT_CTCF_compos_all
# recovered on: chr19, chr13 (bit-equality asserted)
# `scale_factor` is the PRODUCT 1e6/(LibSize*NormFactor). LibSize and
# NormFactor are NOT separately recoverable and stay empty here.
# REPLICATE LEVEL ONLY -- merged/5 kb/AcMe3 are always recomputed.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
CTCF_B1_WT_Gall_rep1	0.04516720026731491			chr13,chr19	CTCF_B1_WT_Gall_rep1.bw
CTCF_B1_WT_Gall_rep2	0.0500263012945652			chr13,chr19	CTCF_B1_WT_Gall_rep2.bw
CTCF_B1_WT_Xa_rep1	0.04516720026731491			chr13,chr19	CTCF_B1_WT_Xa_rep1.bw
CTCF_B1_WT_Xa_rep2	0.0500263012945652			chr13,chr19	CTCF_B1_WT_Xa_rep2.bw
CTCF_B1_WT_Xi_rep1	0.04516720026731491			chr13,chr19	CTCF_B1_WT_Xi_rep1.bw
CTCF_B1_WT_Xi_rep2	0.0500263012945652			chr13,chr19	CTCF_B1_WT_Xi_rep2.bw
CTCF_C5_WT_Gall_rep1	0.09117940068244934			chr13,chr19	CTCF_C5_WT_Gall_rep1.bw
CTCF_C5_WT_Gall_rep2	0.047975700348615646			chr13,chr19	CTCF_C5_WT_Gall_rep2.bw
CTCF_C5_WT_Xa_rep1	0.09117940068244934			chr13,chr19	CTCF_C5_WT_Xa_rep1.bw
CTCF_C5_WT_Xa_rep2	0.047975700348615646			chr13,chr19	CTCF_C5_WT_Xa_rep2.bw
CTCF_C5_WT_Xi_rep1	0.09117940068244934			chr13,chr19	CTCF_C5_WT_Xi_rep1.bw
CTCF_C5_WT_Xi_rep2	0.047975700348615646			chr13,chr19	CTCF_C5_WT_Xi_rep2.bw
CTCF_CL30_WT_Gall_rep1	0.07998490333557129			chr13,chr19	CTCF_CL30_WT_Gall_rep1.bw
CTCF_CL30_WT_Gall_rep2	0.06485220044851303			chr13,chr19	CTCF_CL30_WT_Gall_rep2.bw
CTCF_CL30_WT_Xa_rep1	0.07998490333557129			chr13,chr19	CTCF_CL30_WT_Xa_rep1.bw
CTCF_CL30_WT_Xa_rep2	0.06485220044851303			chr13,chr19	CTCF_CL30_WT_Xa_rep2.bw
CTCF_CL30_WT_Xi_rep1	0.07998490333557129			chr13,chr19	CTCF_CL30_WT_Xi_rep1.bw
CTCF_CL30_WT_Xi_rep2	0.06485220044851303			chr13,chr19	CTCF_CL30_WT_Xi_rep2.bw
CTCF_E6_WT_Gall_rep1	0.05303819850087166			chr13,chr19	CTCF_E6_WT_Gall_rep1.bw
CTCF_E6_WT_Gall_rep2	0.07213900238275528			chr13,chr19	CTCF_E6_WT_Gall_rep2.bw
CTCF_E6_WT_Xa_rep1	0.05303819850087166			chr13,chr19	CTCF_E6_WT_Xa_rep1.bw
CTCF_E6_WT_Xa_rep2	0.07213900238275528			chr13,chr19	CTCF_E6_WT_Xa_rep2.bw
CTCF_E6_WT_Xi_rep1	0.05303819850087166			chr13,chr19	CTCF_E6_WT_Xi_rep1.bw
CTCF_E6_WT_Xi_rep2	0.07213900238275528			chr13,chr19	CTCF_E6_WT_Xi_rep2.bw
CTCF_JTG_WT_Gall_rep1	0.04426870122551918			chr13,chr19	CTCF_JTG_WT_Gall_rep1.bw
CTCF_JTG_WT_Gall_rep2	0.04301460087299347			chr13,chr19	CTCF_JTG_WT_Gall_rep2.bw
CTCF_JTG_WT_Xa_rep1	0.04426870122551918			chr13,chr19	CTCF_JTG_WT_Xa_rep1.bw
CTCF_JTG_WT_Xa_rep2	0.04301460087299347			chr13,chr19	CTCF_JTG_WT_Xa_rep2.bw
CTCF_JTG_WT_Xi_rep1	0.04426870122551918			chr13,chr19	CTCF_JTG_WT_Xi_rep1.bw
CTCF_JTG_WT_Xi_rep2	0.04301460087299347			chr13,chr19	CTCF_JTG_WT_Xi_rep2.bw
