# Ground-truth scale factors recovered from the ORIGINAL pipeline's
# bigWigs: the minimum positive value on an autosome is exactly the
# applied `--scaleFactor` (one read x s).
# source: /mnt/scratch/nikolai/Antonia/BAMS_WT_H3K27me3/norm_bw_WT_H3K27me3_compos_all
# recovered on: chr19, chr13 (bit-equality asserted)
# `scale_factor` is the PRODUCT 1e6/(LibSize*NormFactor). LibSize and
# NormFactor are NOT separately recoverable and stay empty here.
# REPLICATE LEVEL ONLY -- merged/5 kb/AcMe3 are always recomputed.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
H3K27me3_B1_WT_Gall_rep1	0.05294220149517059			chr13,chr19	H3K27me3_B1_WT_Gall_rep1.bw
H3K27me3_B1_WT_Gall_rep2	0.01645060069859028			chr13,chr19	H3K27me3_B1_WT_Gall_rep2.bw
H3K27me3_B1_WT_Xa_rep1	0.05294220149517059			chr13,chr19	H3K27me3_B1_WT_Xa_rep1.bw
H3K27me3_B1_WT_Xa_rep2	0.01645060069859028			chr13,chr19	H3K27me3_B1_WT_Xa_rep2.bw
H3K27me3_B1_WT_Xi_rep1	0.05294220149517059			chr13,chr19	H3K27me3_B1_WT_Xi_rep1.bw
H3K27me3_B1_WT_Xi_rep2	0.01645060069859028			chr13,chr19	H3K27me3_B1_WT_Xi_rep2.bw
H3K27me3_C5_WT_Gall_rep1	0.05703530088067055			chr13,chr19	H3K27me3_C5_WT_Gall_rep1.bw
H3K27me3_C5_WT_Gall_rep2	0.023959800601005554			chr13,chr19	H3K27me3_C5_WT_Gall_rep2.bw
H3K27me3_C5_WT_Xa_rep1	0.05703530088067055			chr13,chr19	H3K27me3_C5_WT_Xa_rep1.bw
H3K27me3_C5_WT_Xa_rep2	0.023959800601005554			chr13,chr19	H3K27me3_C5_WT_Xa_rep2.bw
H3K27me3_C5_WT_Xi_rep1	0.05703530088067055			chr13,chr19	H3K27me3_C5_WT_Xi_rep1.bw
H3K27me3_C5_WT_Xi_rep2	0.023959800601005554			chr13,chr19	H3K27me3_C5_WT_Xi_rep2.bw
H3K27me3_CL30_WT_Gall_rep1	0.06487440317869186			chr13,chr19	H3K27me3_CL30_WT_Gall_rep1.bw
H3K27me3_CL30_WT_Gall_rep2	0.031229499727487564			chr13,chr19	H3K27me3_CL30_WT_Gall_rep2.bw
H3K27me3_CL30_WT_Xa_rep1	0.06487440317869186			chr13,chr19	H3K27me3_CL30_WT_Xa_rep1.bw
H3K27me3_CL30_WT_Xa_rep2	0.031229499727487564			chr13,chr19	H3K27me3_CL30_WT_Xa_rep2.bw
H3K27me3_CL30_WT_Xi_rep1	0.06487440317869186			chr13,chr19	H3K27me3_CL30_WT_Xi_rep1.bw
H3K27me3_CL30_WT_Xi_rep2	0.031229499727487564			chr13,chr19	H3K27me3_CL30_WT_Xi_rep2.bw
H3K27me3_E6_WT_Gall_rep1	0.03786870092153549			chr13,chr19	H3K27me3_E6_WT_Gall_rep1.bw
H3K27me3_E6_WT_Gall_rep2	0.05179689824581146			chr13,chr19	H3K27me3_E6_WT_Gall_rep2.bw
H3K27me3_E6_WT_Xa_rep1	0.03786870092153549			chr13,chr19	H3K27me3_E6_WT_Xa_rep1.bw
H3K27me3_E6_WT_Xa_rep2	0.05179689824581146			chr13,chr19	H3K27me3_E6_WT_Xa_rep2.bw
H3K27me3_E6_WT_Xi_rep1	0.03786870092153549			chr13,chr19	H3K27me3_E6_WT_Xi_rep1.bw
H3K27me3_E6_WT_Xi_rep2	0.05179689824581146			chr13,chr19	H3K27me3_E6_WT_Xi_rep2.bw
H3K27me3_JTG_WT_Gall_rep1	0.022694900631904602			chr13,chr19	H3K27me3_JTG_WT_Gall_rep1.bw
H3K27me3_JTG_WT_Gall_rep2	0.028244899585843086			chr13,chr19	H3K27me3_JTG_WT_Gall_rep2.bw
H3K27me3_JTG_WT_Xa_rep1	0.022694900631904602			chr13,chr19	H3K27me3_JTG_WT_Xa_rep1.bw
H3K27me3_JTG_WT_Xa_rep2	0.028244899585843086			chr13,chr19	H3K27me3_JTG_WT_Xa_rep2.bw
H3K27me3_JTG_WT_Xi_rep1	0.022694900631904602			chr13,chr19	H3K27me3_JTG_WT_Xi_rep1.bw
H3K27me3_JTG_WT_Xi_rep2	0.028244899585843086			chr13,chr19	H3K27me3_JTG_WT_Xi_rep2.bw
