chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chrX	73465000	73470000	chrX	73760000	73765000	14693	14752	0	0	0.4846423791	0.0000000000	0.0000000000
chrX	73470000	73475000	chrX	74260000	74265000	14694	14852	0	0	0.5027905519	0.0000000000	0.0000000000
chrX	73465000	73470000	chrX	73925000	73930000	14693	14785	0	0	0.3142708870	0.0000000378	0.0000000413
chrX	73570000	73575000	chrX	73650000	73655000	14714	14730	0	0	0.7785514419	0.0000000000	0.0000000000
chrX	73700000	73705000	chrX	73945000	73950000	14740	14789	0	0	0.5946916284	0.0000000000	0.0000000000
chrX	73795000	73800000	chrX	73935000	73940000	14759	14787	0	0	0.7191807389	0.0000000000	0.0000000000
chrX	73970000	73975000	chrX	74415000	74420000	14794	14883	0	0	0.5594045484	0.0000000000	0.0000000000
chrX	73970000	73975000	chrX	74075000	74080000	14794	14815	0	0	0.6504622707	0.0000000000	0.0000000000
chrX	74110000	74115000	chrX	74410000	74415000	14822	14882	0	0	0.6352393946	0.0000000000	0.0000000000
chrX	74250000	74255000	chrX	74410000	74415000	14850	14882	0	0	0.8516431613	0.0000000000	0.0000000000
