chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chrX	73565000	73570000	chrX	73650000	73655000	14713	14730	0	0	0.6812422733	0.0000000000	0.0000000000
chrX	73570000	73575000	chrX	73945000	73950000	14714	14789	0	0	0.6259875073	0.0000000000	0.0000000000
chrX	73565000	73570000	chrX	74410000	74415000	14713	14882	0	0	0.3463385705	0.0000000010	0.0000000014
chrX	73670000	73675000	chrX	73945000	73950000	14734	14789	0	0	0.5778292665	0.0000000000	0.0000000000
chrX	73715000	73720000	chrX	73780000	73785000	14743	14756	0	0	0.6512169053	0.0000000000	0.0000000000
chrX	73680000	73685000	chrX	74100000	74105000	14736	14820	0	0	0.3185592055	0.0000000238	0.0000000295
chrX	73795000	73800000	chrX	73940000	73945000	14759	14788	0	0	0.7013830373	0.0000000000	0.0000000000
chrX	73965000	73970000	chrX	74235000	74240000	14793	14847	0	0	0.5351613456	0.0000000000	0.0000000000
chrX	73960000	73965000	chrX	74420000	74425000	14792	14884	0	0	0.5998449147	0.0000000000	0.0000000000
chrX	73970000	73975000	chrX	74080000	74085000	14794	14816	0	0	0.6766821217	0.0000000000	0.0000000000
chrX	74110000	74115000	chrX	74410000	74415000	14822	14882	0	0	0.5307963701	0.0000000000	0.0000000000
chrX	74250000	74255000	chrX	74415000	74420000	14850	14883	0	0	0.8386739000	0.0000000000	0.0000000000
