# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
H3K27me3_F3_CTCF-NodTAG_Gall_rep1	0.047886598855257034			chr13,chr19	H3K27me3_F3_CTCF-NodTAG_Gall_rep1.bw
H3K27me3_F3_CTCF-NodTAG_Gall_rep2	0.04084920138120651			chr13,chr19	H3K27me3_F3_CTCF-NodTAG_Gall_rep2.bw
H3K27me3_F3_CTCF-NodTAG_Xa_rep1	0.047886598855257034			chr13,chr19	H3K27me3_F3_CTCF-NodTAG_Xa_rep1.bw
H3K27me3_F3_CTCF-NodTAG_Xa_rep2	0.04084920138120651			chr13,chr19	H3K27me3_F3_CTCF-NodTAG_Xa_rep2.bw
H3K27me3_F3_CTCF-NodTAG_Xi_rep1	0.047886598855257034			chr13,chr19	H3K27me3_F3_CTCF-NodTAG_Xi_rep1.bw
H3K27me3_F3_CTCF-NodTAG_Xi_rep2	0.04084920138120651			chr13,chr19	H3K27me3_F3_CTCF-NodTAG_Xi_rep2.bw
H3K27me3_F3_CTCF-dTAG_Gall_rep1	0.031183499842882156			chr13,chr19	H3K27me3_F3_CTCF-dTAG_Gall_rep1.bw
H3K27me3_F3_CTCF-dTAG_Gall_rep2	0.03472369909286499			chr13,chr19	H3K27me3_F3_CTCF-dTAG_Gall_rep2.bw
H3K27me3_F3_CTCF-dTAG_Xa_rep1	0.031183499842882156			chr13,chr19	H3K27me3_F3_CTCF-dTAG_Xa_rep1.bw
H3K27me3_F3_CTCF-dTAG_Xa_rep2	0.03472369909286499			chr13,chr19	H3K27me3_F3_CTCF-dTAG_Xa_rep2.bw
H3K27me3_F3_CTCF-dTAG_Xi_rep1	0.031183499842882156			chr13,chr19	H3K27me3_F3_CTCF-dTAG_Xi_rep1.bw
H3K27me3_F3_CTCF-dTAG_Xi_rep2	0.03472369909286499			chr13,chr19	H3K27me3_F3_CTCF-dTAG_Xi_rep2.bw
