# Ground-truth scale factors recovered from the ORIGINAL pipeline's
# bigWigs: the minimum positive value on an autosome is exactly the
# applied `--scaleFactor` (one read x s).
# source: /mnt/scratch/nikolai/Antonia/OWNCLOUD_LATEST_19_12_2025/rnaseq_bams/WT/norm_bw_WT_RNA-Seq_compos_all
# recovered on: chr19, chr13 (bit-equality asserted)
# `scale_factor` is the PRODUCT 1e6/(LibSize*NormFactor). LibSize and
# NormFactor are NOT separately recoverable and stay empty here.
# REPLICATE LEVEL ONLY -- merged/5 kb/AcMe3 are always recomputed.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
RNA-Seq_B1_WT_Gall_rep1	0.041688598692417145			chr13,chr19	RNA-Seq_B1_WT_Gall_rep1.bw
RNA-Seq_B1_WT_Gall_rep2	0.018814999610185623			chr13,chr19	RNA-Seq_B1_WT_Gall_rep2.bw
RNA-Seq_B1_WT_Xa_rep1	0.041688598692417145			chr13,chr19	RNA-Seq_B1_WT_Xa_rep1.bw
RNA-Seq_B1_WT_Xa_rep2	0.018814999610185623			chr13,chr19	RNA-Seq_B1_WT_Xa_rep2.bw
RNA-Seq_B1_WT_Xi_rep1	0.041688598692417145			chr13,chr19	RNA-Seq_B1_WT_Xi_rep1.bw
RNA-Seq_B1_WT_Xi_rep2	0.018814999610185623			chr13,chr19	RNA-Seq_B1_WT_Xi_rep2.bw
RNA-Seq_C5_WT_Gall_rep1	0.04709089919924736			chr13,chr19	RNA-Seq_C5_WT_Gall_rep1.bw
RNA-Seq_C5_WT_Gall_rep2	0.02497120015323162			chr13,chr19	RNA-Seq_C5_WT_Gall_rep2.bw
RNA-Seq_C5_WT_Xa_rep1	0.04709089919924736			chr13,chr19	RNA-Seq_C5_WT_Xa_rep1.bw
RNA-Seq_C5_WT_Xa_rep2	0.02497120015323162			chr13,chr19	RNA-Seq_C5_WT_Xa_rep2.bw
RNA-Seq_C5_WT_Xi_rep1	0.04709089919924736			chr13,chr19	RNA-Seq_C5_WT_Xi_rep1.bw
RNA-Seq_C5_WT_Xi_rep2	0.02497120015323162			chr13,chr19	RNA-Seq_C5_WT_Xi_rep2.bw
RNA-Seq_CL30_WT_Gall_rep1	0.03652609884738922			chr13,chr19	RNA-Seq_CL30_WT_Gall_rep1.bw
RNA-Seq_CL30_WT_Gall_rep2	0.037906501442193985			chr13,chr19	RNA-Seq_CL30_WT_Gall_rep2.bw
RNA-Seq_CL30_WT_Xa_rep1	0.03652609884738922			chr13,chr19	RNA-Seq_CL30_WT_Xa_rep1.bw
RNA-Seq_CL30_WT_Xa_rep2	0.037906501442193985			chr13,chr19	RNA-Seq_CL30_WT_Xa_rep2.bw
RNA-Seq_CL30_WT_Xi_rep1	0.03652609884738922			chr13,chr19	RNA-Seq_CL30_WT_Xi_rep1.bw
RNA-Seq_CL30_WT_Xi_rep2	0.037906501442193985			chr13,chr19	RNA-Seq_CL30_WT_Xi_rep2.bw
RNA-Seq_E6_WT_Gall_rep1	0.04473410174250603			chr13,chr19	RNA-Seq_E6_WT_Gall_rep1.bw
RNA-Seq_E6_WT_Gall_rep2	0.02336769923567772			chr13,chr19	RNA-Seq_E6_WT_Gall_rep2.bw
RNA-Seq_E6_WT_Xa_rep1	0.04473410174250603			chr13,chr19	RNA-Seq_E6_WT_Xa_rep1.bw
RNA-Seq_E6_WT_Xa_rep2	0.02336769923567772			chr13,chr19	RNA-Seq_E6_WT_Xa_rep2.bw
RNA-Seq_E6_WT_Xi_rep1	0.04473410174250603			chr13,chr19	RNA-Seq_E6_WT_Xi_rep1.bw
RNA-Seq_E6_WT_Xi_rep2	0.02336769923567772			chr13,chr19	RNA-Seq_E6_WT_Xi_rep2.bw
RNA-Seq_JTG_WT_Gall_rep1	0.05643429979681969			chr13,chr19	RNA-Seq_JTG_WT_Gall_rep1.bw
RNA-Seq_JTG_WT_Gall_rep2	0.08198080211877823			chr13,chr19	RNA-Seq_JTG_WT_Gall_rep2.bw
RNA-Seq_JTG_WT_Xa_rep1	0.05643429979681969			chr13,chr19	RNA-Seq_JTG_WT_Xa_rep1.bw
RNA-Seq_JTG_WT_Xa_rep2	0.08198080211877823			chr13,chr19	RNA-Seq_JTG_WT_Xa_rep2.bw
RNA-Seq_JTG_WT_Xi_rep1	0.05643429979681969			chr13,chr19	RNA-Seq_JTG_WT_Xi_rep1.bw
RNA-Seq_JTG_WT_Xi_rep2	0.08198080211877823			chr13,chr19	RNA-Seq_JTG_WT_Xi_rep2.bw
