chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chrX	150475000	150480000	chrX	151805000	151810000	30095	30361	0	0	0.4270310768	0.0000000000	0.0000000000
chrX	150510000	150515000	chrX	152145000	152150000	30102	30429	0	0	0.6246833077	0.0000000000	0.0000000000
chrX	150510000	150515000	chrX	151960000	151965000	30102	30392	0	0	0.4906587016	0.0000000000	0.0000000000
chrX	150505000	150510000	chrX	152245000	152250000	30101	30449	0	0	0.3641796559	0.0000000014	0.0000000020
chrX	150505000	150510000	chrX	152300000	152305000	30101	30460	0	0	0.3517121199	0.0000000055	0.0000000073
chrX	150510000	150515000	chrX	151870000	151875000	30102	30374	0	0	0.3813229256	0.0000000002	0.0000000003
chrX	151520000	151525000	chrX	151795000	151800000	30304	30359	0	0	0.3682186607	0.0000000001	0.0000000001
chrX	151805000	151810000	chrX	152335000	152340000	30361	30467	0	0	0.6055558866	0.0000000000	0.0000000000
chrX	151805000	151810000	chrX	152010000	152015000	30361	30402	0	0	0.4516265032	0.0000000000	0.0000000000
chrX	151810000	151815000	chrX	152170000	152175000	30362	30434	0	0	0.4308104043	0.0000000000	0.0000000000
chrX	151945000	151950000	chrX	152155000	152160000	30389	30431	0	0	0.7328208804	0.0000000000	0.0000000000
chrX	152015000	152020000	chrX	152230000	152235000	30403	30446	0	0	0.4134870148	0.0000000000	0.0000000000
chrX	152020000	152025000	chrX	152160000	152165000	30404	30432	0	0	0.4496450051	0.0000000000	0.0000000000
