,name,B1,C5,CL30.7,E6,ESC,JTG,start,end,seqnames
1,RP23-135F22.6,0.017857143,0.03125,0,0.368181818,0.577272727,0.392628205,7558602,7605381,chrX
2,Gpkow,0.244748206,0.322949737,0.177540123,0.354566552,0.351768632,0.344776525,7697131,7710262,chrX
3,Wdr45,0.297667678,0.457542238,0.140587945,0.426669241,0.537505899,0.448681055,7721973,7728201,chrX
4,Praf2,0.006774692,0.410048887,0.001974407,0.422502883,0.508946669,0.389328149,7728439,7731064,chrX
5,Ccdc120,0,0.244594595,0.003912707,0.254936634,0.492824961,0.12333887,7731714,7750905,chrX
6,Tfe3,0.089162488,0.358590882,0.000596204,0.454334114,0.5421562,0.431951353,7762560,7775202,chrX
7,Gripap1,0.197656006,0.458050665,0.000328875,0.451719039,0.481361231,0.408335165,7789765,7820567,chrX
8,Kcnd1,0.030510139,0.229161442,0.003416856,0.400707651,0.504828071,0.089314054,7822289,7838280,chrX
9,Otud5,0.257210428,0.427729923,0,0.451806826,0.52661256,0.447399751,7841364,7876626,chrX
10,Pim2,0.223950866,0.428930909,0.000712251,0.391637009,0.430483123,0.40459596,7878262,7883432,chrX
11,Slc35a2,0.301602889,0.427602637,0.023383107,0.48970269,0.484735996,0.473782249,7884041,7894492,chrX
12,Pqbp1,0.287394584,0.430448088,0.002101908,0.465188529,0.437402494,0.45509981,7894519,7899269,chrX
13,Timm17b,0.244167765,0.341491781,0.004667878,0.490173781,0.508452533,0.466297868,7899357,7908351,chrX
14,Pcsk1n,0.054173355,0.160351509,0.003040883,0.149253107,0.382872729,0.083466763,7919822,7924410,chrX
15,Hdac6,0.168135686,0.267955683,0.000498562,0.378575317,0.462595827,0.395533649,7930120,7947889,chrX
16,Suv39h1,0.349451653,0.382625179,0.379508146,0.443206354,0.563864943,0.453980383,8061171,8074760,chrX
17,Wdr13,0.001590712,0.382644972,0.000498061,0.437101676,0.551636501,0.454216289,8123301,8132892,chrX
18,Rbm3,0.001072864,0.34771267,0.00024554,0.547402005,0.592084024,0.564662556,8138975,8145880,chrX
19,Rbm3os,0,0.392424242,0,0.653627312,0.692857143,0.610264228,8145429,8147964,chrX
20,Tbc1d25,0.002487562,0.236765202,0,0.452809378,0.427578157,0.374617425,8154472,8176181,chrX
21,Ebp,0.000894885,0.24634421,0.002724521,0.277631837,0.512898369,0.443425391,8185329,8193512,chrX
22,Porcn,0,0.1297909,0,0.291956644,0.55884695,0.246905393,8193848,8206525,chrX
23,Ftsj1,0.13162874,0.357237165,0.418928694,0.491261446,0.555457794,0.47194871,8238668,8252406,chrX
24,Dynlt3,NA,NA,0.034855769,0.370192308,0,NA,9654267,9663003,chrX
25,Rpgr,0.006178921,0.027573529,0.004901469,0.291817237,0.328282164,0,10073621,10216920,chrX
26,Mid1ip1,0,0.006756757,0.004098361,0.536031645,0.415178571,0.050680985,10715013,10719690,chrX
27,Bcor,0,0,0.000626708,0.459448419,0.400431691,0.000723162,12036740,12160355,chrX
28,Atp6ap2,0.330112805,0.294181898,0.000406339,0.470066687,0.53655127,0.377339552,12587801,12617049,chrX
29,1810030O07Rik,0.229224871,0.210434555,0.707275384,0.733073913,0.849878879,0.703265557,12654879,12673668,chrX
30,Med14,0.403442269,0.335534704,0.420953951,0.490093159,0.535407425,0.419020196,12675369,12762073,chrX
31,Gm14634,0.191148776,0.233246415,0.488140417,0.650695134,1,0.378787879,12762278,12821492,chrX
32,5730405O15Rik,0.423579109,0.254891104,0.458029197,0.512057626,0.583333333,0.380952381,13042015,13045297,chrX
33,Usp9x,0.426871441,0.385331096,0.465113225,0.468642053,0.546962377,0.431415468,13071498,13173328,chrX
34,2010308F09Rik,0.422619048,0.176079734,0.187062937,0.452380952,0.5,0,13234641,13247736,chrX
35,Ddx3x,0.418718855,0.371249828,0.375051693,0.400451904,0.480824544,0.312065184,13280970,13294052,chrX
36,Fundc1,0.294812186,0.060958066,0.003261299,0.32132875,0.466108872,0.230086692,17556564,17572325,chrX
37,Kdm6a,0.318809287,0.265052939,0.42189713,0.424723257,0.565800981,0.443531735,18162575,18279936,chrX
