# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep1	0.07459250092506409			chr13,chr19	RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep1.bw
RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep2	0.08379360288381577			chr13,chr19	RNA-Seq_C5C10_CTCF-NodTAG_Gall_rep2.bw
RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep1	0.07459250092506409			chr13,chr19	RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep1.bw
RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep2	0.08379360288381577			chr13,chr19	RNA-Seq_C5C10_CTCF-NodTAG_Xa_rep2.bw
RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep1	0.07459250092506409			chr13,chr19	RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep1.bw
RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep2	0.08379360288381577			chr13,chr19	RNA-Seq_C5C10_CTCF-NodTAG_Xi_rep2.bw
RNA-Seq_C5C10_CTCF-dTAG_Gall_rep1	0.06648900359869003			chr13,chr19	RNA-Seq_C5C10_CTCF-dTAG_Gall_rep1.bw
RNA-Seq_C5C10_CTCF-dTAG_Gall_rep2	0.07830390334129333			chr13,chr19	RNA-Seq_C5C10_CTCF-dTAG_Gall_rep2.bw
RNA-Seq_C5C10_CTCF-dTAG_Xa_rep1	0.06648900359869003			chr13,chr19	RNA-Seq_C5C10_CTCF-dTAG_Xa_rep1.bw
RNA-Seq_C5C10_CTCF-dTAG_Xa_rep2	0.07830390334129333			chr13,chr19	RNA-Seq_C5C10_CTCF-dTAG_Xa_rep2.bw
RNA-Seq_C5C10_CTCF-dTAG_Xi_rep1	0.06648900359869003			chr13,chr19	RNA-Seq_C5C10_CTCF-dTAG_Xi_rep1.bw
RNA-Seq_C5C10_CTCF-dTAG_Xi_rep2	0.07830390334129333			chr13,chr19	RNA-Seq_C5C10_CTCF-dTAG_Xi_rep2.bw
