# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
H3K27ac_E6A7_CTCF-NodTAG_Gall_rep1	0.07575690001249313			chr13,chr19	H3K27ac_E6A7_CTCF-NodTAG_Gall_rep1.bw
H3K27ac_E6A7_CTCF-NodTAG_Gall_rep2	0.05578279867768288			chr13,chr19	H3K27ac_E6A7_CTCF-NodTAG_Gall_rep2.bw
H3K27ac_E6A7_CTCF-NodTAG_Xa_rep1	0.07575690001249313			chr13,chr19	H3K27ac_E6A7_CTCF-NodTAG_Xa_rep1.bw
H3K27ac_E6A7_CTCF-NodTAG_Xa_rep2	0.05578279867768288			chr13,chr19	H3K27ac_E6A7_CTCF-NodTAG_Xa_rep2.bw
H3K27ac_E6A7_CTCF-NodTAG_Xi_rep1	0.07575690001249313			chr13,chr19	H3K27ac_E6A7_CTCF-NodTAG_Xi_rep1.bw
H3K27ac_E6A7_CTCF-NodTAG_Xi_rep2	0.05578279867768288			chr13,chr19	H3K27ac_E6A7_CTCF-NodTAG_Xi_rep2.bw
H3K27ac_E6A7_CTCF-dTAG_Gall_rep1	0.027865499258041382			chr13,chr19	H3K27ac_E6A7_CTCF-dTAG_Gall_rep1.bw
H3K27ac_E6A7_CTCF-dTAG_Gall_rep2	0.08142119646072388			chr13,chr19	H3K27ac_E6A7_CTCF-dTAG_Gall_rep2.bw
H3K27ac_E6A7_CTCF-dTAG_Xa_rep1	0.027865499258041382			chr13,chr19	H3K27ac_E6A7_CTCF-dTAG_Xa_rep1.bw
H3K27ac_E6A7_CTCF-dTAG_Xa_rep2	0.08142119646072388			chr13,chr19	H3K27ac_E6A7_CTCF-dTAG_Xa_rep2.bw
H3K27ac_E6A7_CTCF-dTAG_Xi_rep1	0.027865499258041382			chr13,chr19	H3K27ac_E6A7_CTCF-dTAG_Xi_rep1.bw
H3K27ac_E6A7_CTCF-dTAG_Xi_rep2	0.08142119646072388			chr13,chr19	H3K27ac_E6A7_CTCF-dTAG_Xi_rep2.bw
