# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
H3K27me3_E6A7_CTCF-NodTAG_Gall_rep1	0.05486230179667473			chr13,chr19	H3K27me3_E6A7_CTCF-NodTAG_Gall_rep1.bw
H3K27me3_E6A7_CTCF-NodTAG_Gall_rep2	0.12448100000619888			chr13,chr19	H3K27me3_E6A7_CTCF-NodTAG_Gall_rep2.bw
H3K27me3_E6A7_CTCF-NodTAG_Xa_rep1	0.05486230179667473			chr13,chr19	H3K27me3_E6A7_CTCF-NodTAG_Xa_rep1.bw
H3K27me3_E6A7_CTCF-NodTAG_Xa_rep2	0.12448100000619888			chr13,chr19	H3K27me3_E6A7_CTCF-NodTAG_Xa_rep2.bw
H3K27me3_E6A7_CTCF-NodTAG_Xi_rep1	0.05486230179667473			chr13,chr19	H3K27me3_E6A7_CTCF-NodTAG_Xi_rep1.bw
H3K27me3_E6A7_CTCF-NodTAG_Xi_rep2	0.12448100000619888			chr13,chr19	H3K27me3_E6A7_CTCF-NodTAG_Xi_rep2.bw
H3K27me3_E6A7_CTCF-dTAG_Gall_rep1	0.050843000411987305			chr13,chr19	H3K27me3_E6A7_CTCF-dTAG_Gall_rep1.bw
H3K27me3_E6A7_CTCF-dTAG_Gall_rep2	0.09893999993801117			chr13,chr19	H3K27me3_E6A7_CTCF-dTAG_Gall_rep2.bw
H3K27me3_E6A7_CTCF-dTAG_Xa_rep1	0.050843000411987305			chr13,chr19	H3K27me3_E6A7_CTCF-dTAG_Xa_rep1.bw
H3K27me3_E6A7_CTCF-dTAG_Xa_rep2	0.09893999993801117			chr13,chr19	H3K27me3_E6A7_CTCF-dTAG_Xa_rep2.bw
H3K27me3_E6A7_CTCF-dTAG_Xi_rep1	0.050843000411987305			chr13,chr19	H3K27me3_E6A7_CTCF-dTAG_Xi_rep1.bw
H3K27me3_E6A7_CTCF-dTAG_Xi_rep2	0.09893999993801117			chr13,chr19	H3K27me3_E6A7_CTCF-dTAG_Xi_rep2.bw
