# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
H3K27me3_B1621_Rad21-NodTAG_Gall_rep1	0.03261280059814453			chr13,chr19	H3K27me3_B1621_Rad21-NodTAG_Gall_rep1.bw
H3K27me3_B1621_Rad21-NodTAG_Gall_rep2	0.054815199226140976			chr13,chr19	H3K27me3_B1621_Rad21-NodTAG_Gall_rep2.bw
H3K27me3_B1621_Rad21-NodTAG_Xa_rep1	0.03261280059814453			chr13,chr19	H3K27me3_B1621_Rad21-NodTAG_Xa_rep1.bw
H3K27me3_B1621_Rad21-NodTAG_Xa_rep2	0.054815199226140976			chr13,chr19	H3K27me3_B1621_Rad21-NodTAG_Xa_rep2.bw
H3K27me3_B1621_Rad21-NodTAG_Xi_rep1	0.03261280059814453			chr13,chr19	H3K27me3_B1621_Rad21-NodTAG_Xi_rep1.bw
H3K27me3_B1621_Rad21-NodTAG_Xi_rep2	0.054815199226140976			chr13,chr19	H3K27me3_B1621_Rad21-NodTAG_Xi_rep2.bw
H3K27me3_B1621_Rad21-dTAG_Gall_rep1	0.04267039895057678			chr13,chr19	H3K27me3_B1621_Rad21-dTAG_Gall_rep1.bw
H3K27me3_B1621_Rad21-dTAG_Gall_rep2	0.03281540051102638			chr13,chr19	H3K27me3_B1621_Rad21-dTAG_Gall_rep2.bw
H3K27me3_B1621_Rad21-dTAG_Xa_rep1	0.04267039895057678			chr13,chr19	H3K27me3_B1621_Rad21-dTAG_Xa_rep1.bw
H3K27me3_B1621_Rad21-dTAG_Xa_rep2	0.03281540051102638			chr13,chr19	H3K27me3_B1621_Rad21-dTAG_Xa_rep2.bw
H3K27me3_B1621_Rad21-dTAG_Xi_rep1	0.04267039895057678			chr13,chr19	H3K27me3_B1621_Rad21-dTAG_Xi_rep1.bw
H3K27me3_B1621_Rad21-dTAG_Xi_rep2	0.03281540051102638			chr13,chr19	H3K27me3_B1621_Rad21-dTAG_Xi_rep2.bw
