# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
RNA-Seq_F3_CTCF-NodTAG_Gall_rep1	0.05480879917740822			chr13,chr19	RNA-Seq_F3_CTCF-NodTAG_Gall_rep1.bw
RNA-Seq_F3_CTCF-NodTAG_Gall_rep2	0.07611739635467529			chr13,chr19	RNA-Seq_F3_CTCF-NodTAG_Gall_rep2.bw
RNA-Seq_F3_CTCF-NodTAG_Xa_rep1	0.05480879917740822			chr13,chr19	RNA-Seq_F3_CTCF-NodTAG_Xa_rep1.bw
RNA-Seq_F3_CTCF-NodTAG_Xa_rep2	0.07611739635467529			chr13,chr19	RNA-Seq_F3_CTCF-NodTAG_Xa_rep2.bw
RNA-Seq_F3_CTCF-NodTAG_Xi_rep1	0.05480879917740822			chr13,chr19	RNA-Seq_F3_CTCF-NodTAG_Xi_rep1.bw
RNA-Seq_F3_CTCF-NodTAG_Xi_rep2	0.07611739635467529			chr13,chr19	RNA-Seq_F3_CTCF-NodTAG_Xi_rep2.bw
RNA-Seq_F3_CTCF-dTAG_Gall_rep1	0.03675340116024017			chr13,chr19	RNA-Seq_F3_CTCF-dTAG_Gall_rep1.bw
RNA-Seq_F3_CTCF-dTAG_Gall_rep2	0.06256309896707535			chr13,chr19	RNA-Seq_F3_CTCF-dTAG_Gall_rep2.bw
RNA-Seq_F3_CTCF-dTAG_Xa_rep1	0.03675340116024017			chr13,chr19	RNA-Seq_F3_CTCF-dTAG_Xa_rep1.bw
RNA-Seq_F3_CTCF-dTAG_Xa_rep2	0.06256309896707535			chr13,chr19	RNA-Seq_F3_CTCF-dTAG_Xa_rep2.bw
RNA-Seq_F3_CTCF-dTAG_Xi_rep1	0.03675340116024017			chr13,chr19	RNA-Seq_F3_CTCF-dTAG_Xi_rep1.bw
RNA-Seq_F3_CTCF-dTAG_Xi_rep2	0.06256309896707535			chr13,chr19	RNA-Seq_F3_CTCF-dTAG_Xi_rep2.bw
