# Ground-truth scale factors recovered from the ORIGINAL bigWigs.
# See workflow/scripts/py/recover_scale_factors.py. REPLICATE LEVEL ONLY.
sample	scale_factor	LibSize	NormFactor	recovered_from	source_bigwig
CTCF_E6A7_CTCF-NodTAG_Gall_rep1	0.11159899830818176			chr13,chr19	CTCF_E6A7_CTCF-NodTAG_Gall_rep1.bw
CTCF_E6A7_CTCF-NodTAG_Gall_rep2	0.05887340009212494			chr13,chr19	CTCF_E6A7_CTCF-NodTAG_Gall_rep2.bw
CTCF_E6A7_CTCF-NodTAG_Xa_rep1	0.11159899830818176			chr13,chr19	CTCF_E6A7_CTCF-NodTAG_Xa_rep1.bw
CTCF_E6A7_CTCF-NodTAG_Xa_rep2	0.05887340009212494			chr13,chr19	CTCF_E6A7_CTCF-NodTAG_Xa_rep2.bw
CTCF_E6A7_CTCF-NodTAG_Xi_rep1	0.11159899830818176			chr13,chr19	CTCF_E6A7_CTCF-NodTAG_Xi_rep1.bw
CTCF_E6A7_CTCF-NodTAG_Xi_rep2	0.05887340009212494			chr13,chr19	CTCF_E6A7_CTCF-NodTAG_Xi_rep2.bw
CTCF_E6A7_CTCF-dTAG_Gall_rep1	0.08881569653749466			chr13,chr19	CTCF_E6A7_CTCF-dTAG_Gall_rep1.bw
CTCF_E6A7_CTCF-dTAG_Gall_rep2	0.07211119681596756			chr13,chr19	CTCF_E6A7_CTCF-dTAG_Gall_rep2.bw
CTCF_E6A7_CTCF-dTAG_Xa_rep1	0.08881569653749466			chr13,chr19	CTCF_E6A7_CTCF-dTAG_Xa_rep1.bw
CTCF_E6A7_CTCF-dTAG_Xa_rep2	0.07211119681596756			chr13,chr19	CTCF_E6A7_CTCF-dTAG_Xa_rep2.bw
CTCF_E6A7_CTCF-dTAG_Xi_rep1	0.08881569653749466			chr13,chr19	CTCF_E6A7_CTCF-dTAG_Xi_rep1.bw
CTCF_E6A7_CTCF-dTAG_Xi_rep2	0.07211119681596756			chr13,chr19	CTCF_E6A7_CTCF-dTAG_Xi_rep2.bw
